# 这是王文倩同学提供的自定义的椭球参数投影文件
#数据文件中的 # : , 均应为英文字符
#可以忽略0个空格的行
#可以忽略有多个空格的行
#CS 指定坐标系 BJ54 XA80 CGCS2000 WGS84 CS00 
#CS: BJ54
#CS: XA80
#CS: CGCS2000
#CS: WGS84
CS: CS00, 6379344.2960, 298.3  
# 此处利用系统默认角度数据格式为D.MMSS, 而且后设置角度格式，而将此处定义为106度25分
L0: 106.25
YKM: 500
N: 35

#FORMAT: BL or XY or BLXY or XYBL
FORMAT: BL

# 角度的单位， 默认为 D.MMSS
# ANGLE : DEGREE D.MMSSS RADIAN 
ANGLE: DEGREE

#点名, B, L
GPSⅠ147,	25.40008816,	105.6539744
GPSⅠ148,	25.39740364,	105.6512439
GPSⅠ149,	25.40171391,	105.647806
GPSⅠ150,	25.40409844,	105.6455013
GPSⅠ151,	25.40784287,	105.6412288
GPSⅠ152,	25.40909668,	105.6371521
GPSⅠ153,	25.41182193,	105.6324854
GPSⅠ154,	25.41661118,	105.6290082
GPSⅠ155,	25.41964	    ,    105.6263283
GPSⅠ156,	25.42256279,	105.6226081
GPSⅠ157,	25.42313389,	105.6188738
GPSⅠ158,	25.43140467,	105.6010601
GPSⅠ159,	25.43525021,	105.5956819
GPSⅠ160,	25.43903898,	105.5927239
GPSⅠ161,	25.41945703,	105.5905676
GPSⅠ162,	25.42328369,	105.5890276
GPSⅠ163,	25.42504064,	105.5837869
GPSⅠ164,	25.42779181,	105.5790521
GPSⅠ165,	25.42881729,	105.5749993
GPSⅠ166,	25.43063069,	105.5713132
GPSⅠ167,	25.43251903,	105.5689698
GPSⅠ168,	25.43426549,	105.5646344
GPSⅠ169,	25.86986034,	106.2415726
GPSⅠ170,	25.86496794,	106.2408896
GPSⅠ171,	25.86244234,	106.2402296
GPSⅠ172,	25.85719977,	106.24052
GPSⅠ173,	25.8553847	,    106.2360681
GPSⅠ174,	25.85493135,	106.2308859
GPSⅠ175,	25.84809127,	106.2204526
GPSⅠ176,	25.9678066	,    106.3353662
GPSⅠ177,	25.96614276,	106.3298492
GPSⅠ178,	25.96588804,	106.3245019
GPSⅠ179,	25.96395378,	106.3173458
GPSⅠ180,	25.96267488,	106.3137289
GPSⅠ181,	25.96007316,	106.3122993
GPSⅠ182,	25.95589625,	106.3103927
GPSⅠ183,	25.94423432,	106.2971418
GPSⅠ184,	25.94170652,	106.2953375
GPSⅠ185,	25.93868911,	106.2918417
GPSⅠ186,	25.95103308,	106.3088373
GPSⅠ187,	25.93405687,	106.2863272
GPSⅠ188,	25.9300727	,    106.2858382
GPSⅠ189,	25.9250561	,    106.2813386
GPSⅠ190,	25.92082404,	106.2829697
GPSⅠ191,	25.91696399,	106.2803037
GPSⅠ192,	25.91234335,	106.2792792
GPSⅠ193,	25.90328812,	106.2705644
